Song_Name,Artist,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Temp,Target
Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,0.691,0.64,0,-6.441,0.369,0.511,0,0.409,0.163,138.672,1
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville,0.761,0.586,0,-5.368,0.359,0.0392,0,0.0558,0.719,149.804,1
LamboTruck (with Cozz feat. REASON & Childish Major),Dreamville,0.678,0.695,10,-5.323,0.286,0.0485,0,0.254,0.242,135.044,1
"Swivel (with EARTHGANG) - From The Upcoming Album ""Mirrorland""",Dreamville,0.507,0.545,2,-7.209,0.43,0.25,0,0.239,0.392,78.461,1
"Oh Wow...Swerve (with J. Cole feat. Zoink Gang, KEY! & Maxo Kream)",Dreamville,0.509,0.703,1,-6.097,0.512,0.39,0,0.269,0.301,174.259,1
"Don't Hit Me Right Now (with Bas & Cozz feat. Yung Baby Tate, Guapdad 4000 & Buddy)",Dreamville,0.779,0.597,10,-6.694,0.0851,0.561,0,0.131,0.432,124.056,1
Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,Dreamville,0.8,0.826,1,-3.198,0.107,0.0706,4.76e-06,0.181,0.241,148.021,1
Sleep Deprived (with Lute & Omen feat. Mez & DaVionne),Dreamville,0.636,0.8,11,-4.265,0.347,0.337,0,0.39,0.704,88.657,1
Self Love (with Ari Lennox & Bas feat. Baby Rose),Dreamville,0.761,0.697,5,-6.164,0.0568,0.186,0,0.126,0.197,106.051,1
"Ladies, Ladies, Ladies (with JID feat. T.I.)",Dreamville,0.631,0.687,11,-6.177,0.258,0.753,0,0.309,0.534,80.706,1
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville,0.642,0.647,7,-6.312,0.428,0.517,0,0.0649,0.664,120.749,1
"1993 (with J. Cole, JID, Cozz & EARTHGANG feat. Smino & Buddy)",Dreamville,0.525,0.725,7,-5.318,0.629,0.529,0,0.598,0.693,175.63,1
Rembrandt...Run It Back (with JID & J. Cole feat. Vince Staples),Dreamville,0.631,0.568,7,-5.946,0.456,0.442,0.00444,0.111,0.263,140.212,1
Sunset (with J. Cole feat. Young Nudy),Dreamville,0.924,0.385,1,-7.049,0.185,0.187,0,0.132,0.39,129.976,1
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Dreamville,0.664,0.61,7,-6.432,0.339,0.145,0,0.097,0.472,76.024,1
MIDDLE CHILD,Dreamville,0.84,0.484,8,-6.899,0.241,0.192,0,0.282,0.512,126.023,1
"PTSD (with Omen feat. Mereba, Deante' Hitchcock & St. Beauty)",Dreamville,0.68,0.883,1,-5.387,0.395,0.187,0,0.116,0.59,96.173,1
Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),Dreamville,0.825,0.672,0,-7.108,0.418,0.0858,0,0.123,0.246,147.01,1
The Ringer,Eminem,0.939,0.551,1,-9.126,0.291,0.0311,0,0.192,0.42,118.552,1
Greatest,Eminem,0.809,0.737,1,-5.186,0.108,0.0441,0,0.341,0.367,80.025,1
Lucky You (feat. Joyner Lucas),Eminem,0.876,0.786,10,-4.884,0.306,0.0627,0,0.127,0.575,153.068,1
Normal,Eminem,0.907,0.64,6,-6.542,0.354,0.261,0,0.0785,0.803,120.995,1
Stepping Stone,Eminem,0.616,0.684,7,-6.032,0.311,0.0305,0,0.376,0.312,179.503,1
Not Alike (feat. Royce Da 5'9),Eminem,0.904,0.756,10,-3.746,0.32,0.0692,0,0.339,0.342,140.005,1
Kamikaze,Eminem,0.78,0.808,2,-5.175,0.484,0.112,0,0.329,0.642,79.982,1
Fall,Eminem,0.83,0.546,1,-5.716,0.295,0.227,0,0.112,0.535,182.973,1
Nice Guy (with Jessie Reyez),Eminem,0.65,0.639,8,-5.962,0.458,0.0942,0,0.135,0.563,139.226,1
Good Guy (feat. Jessie Reyez),Eminem,0.696,0.634,9,-6.918,0.281,0.244,0,0.437,0.728,89.973,1
Venom - Music From The Motion Picture,Eminem,0.749,0.794,0,-5.063,0.064,0.0193,0,0.543,0.46,135.959,1
Don't Cry (feat. XXXTENTACION),Lil Wayne,0.585,0.709,8,-6.072,0.319,0.409,0,0.183,0.21,111.913,1
Dedicate,Lil Wayne,0.879,0.662,2,-6.162,0.309,0.033,0,0.716,0.723,117.975,1
Uproar,Lil Wayne,0.743,0.87,1,-2.188,0.212,0.0595,0,0.299,0.884,99.075,1
Let It Fly (feat. Travis Scott),Lil Wayne,0.902,0.819,1,-3.321,0.317,0.0414,0,0.106,0.746,89.0,1
Can't Be Broken,Lil Wayne,0.578,0.577,2,-5.997,0.202,0.121,0,0.086,0.154,99.288,1
Mona Lisa (feat. Kendrick Lamar),Lil Wayne,0.855,0.694,2,-4.393,0.169,0.371,0,0.109,0.49,122.078,1
Open Letter,Lil Wayne,0.769,0.55,9,-6.299,0.359,0.0283,0,0.139,0.36,97.01,1
Famous (feat. Reginae Carter),Lil Wayne,0.624,0.568,9,-5.664,0.143,0.0301,0,0.25,0.115,149.857,1
Problems,Lil Wayne,0.807,0.571,2,-6.937,0.312,0.0169,0,0.252,0.0993,139.996,1
Dope Niggaz (feat. Snoop Dogg),Lil Wayne,0.752,0.708,9,-5.053,0.28,0.0395,0,0.0601,0.645,84.974,1
Hittas,Lil Wayne,0.788,0.765,2,-3.93,0.439,0.276,0,0.216,0.667,144.046,1
Open Safe,Lil Wayne,0.929,0.598,1,-5.373,0.156,0.00705,0,0.0549,0.501,96.012,1
Start This Shit Off Right (feat. Ashanti & Mack Maine),Lil Wayne,0.865,0.568,0,-5.112,0.241,0.0206,0,0.186,0.881,90.985,1
Dope New Gospel (feat. Nivea),Lil Wayne,0.651,0.719,0,-3.924,0.301,0.227,0,0.109,0.402,116.77,1
Used 2,Lil Wayne,0.678,0.666,5,-6.949,0.487,0.337,0,0.115,0.523,87.634,1
Let It All Work Out,Lil Wayne,0.552,0.562,11,-6.862,0.164,0.0216,0,0.302,0.439,135.014,1
January 28th,J. Cole,0.483,0.546,5,-8.59,0.349,0.259,0,0.0951,0.372,81.967,1
Wet Dreamz,J. Cole,0.504,0.705,6,-8.205,0.364,0.0752,0,0.128,0.584,175.483,1
03' Adolescence,J. Cole,0.518,0.809,1,-6.362,0.566,0.389,0,0.275,0.261,146.216,1
A Tale of 2 Citiez,J. Cole,0.559,0.556,6,-7.844,0.531,0.553,0,0.251,0.362,189.861,1
G.O.M.D.,J. Cole,0.889,0.393,4,-10.821,0.267,0.331,8.67e-06,0.283,0.304,128.065,1
No Role Modelz,J. Cole,0.696,0.521,10,-8.465,0.332,0.302,0,0.0565,0.458,100.0,1
Apparently,J. Cole,0.801,0.543,5,-9.236,0.091,0.564,0,0.116,0.534,133.982,1
Love Yourz,J. Cole,0.502,0.623,8,-8.812,0.441,0.609,0,0.119,0.399,75.555,1
Note to Self,J. Cole,0.652,0.455,8,-8.673,0.115,0.855,0,0.171,0.325,83.151,1
Legend,Drake,0.715,0.561,1,-7.605,0.0721,0.024,0,0.0769,0.297,100.076,1
Energy,Drake,0.743,0.571,11,-8.038,0.505,0.329,0,0.522,0.571,172.056,1
10 Bands,Drake,0.835,0.756,7,-3.789,0.382,0.23,0,0.0801,0.87,173.0,1
Know Yourself,Drake,0.735,0.41,11,-8.735,0.2,0.19,0,0.341,0.164,114.812,1
No Tellin',Drake,0.827,0.477,7,-10.408,0.275,0.535,0,0.136,0.558,95.03,1
Madonna,Drake,0.891,0.515,2,-8.717,0.0545,0.0151,2.11e-05,0.414,0.116,110.043,1
6 God,Drake,0.857,0.639,2,-8.622,0.128,0.0239,0,0.121,0.477,105.504,1
Star67,Drake,0.478,0.395,3,-7.917,0.213,0.747,4.73e-06,0.264,0.17,74.515,1
Preach,Drake,0.563,0.501,11,-8.041,0.426,0.208,7.89e-05,0.104,0.398,130.288,1
Used To,Drake,0.925,0.429,10,-7.663,0.122,0.0795,0.000256,0.0815,0.319,96.002,1
Now & Forever,Drake,0.575,0.515,6,-7.325,0.0324,0.132,0,0.102,0.0946,107.945,1
Company,Drake,0.654,0.555,7,-8.24,0.052,0.0347,0,0.17,0.11,107.535,1
You & The 6,Drake,0.559,0.493,7,-7.467,0.296,0.153,0,0.132,0.214,154.182,1
Jungle,Drake,0.508,0.234,7,-8.724,0.109,0.614,0.000163,0.111,0.392,195.092,1
6PM In New York,Drake,0.602,0.849,5,-4.141,0.299,0.105,0,0.155,0.319,89.716,1
Tuscan Leather,Drake,0.597,0.679,6,-5.401,0.39,0.115,0,0.231,0.3,79.95,1
Furthest Thing,Drake,0.484,0.78,9,-5.264,0.135,0.147,0,0.057,0.271,137.101,1
Started From the Bottom,Drake,0.794,0.522,8,-7.829,0.159,0.0328,0,0.156,0.567,86.318,1
Wu-Tang Forever,Drake,0.832,0.427,8,-8.516,0.257,0.0474,0,0.101,0.369,99.935,1
Own It,Drake,0.654,0.342,8,-11.305,0.101,0.0487,3.37e-05,0.313,0.294,103.064,1
Worst Behavior,Drake,0.779,0.799,9,-6.359,0.15,0.158,0,0.209,0.414,109.944,1
From Time,Drake,0.738,0.491,1,-9.726,0.413,0.626,0,0.126,0.448,94.378,1
The Language,Drake,0.831,0.651,1,-8.363,0.437,0.0125,0,0.0809,0.502,120.064,1
305 To My City,Drake,0.419,0.494,4,-8.782,0.345,0.0567,0,0.144,0.134,67.622,1
Too Much,Drake,0.637,0.569,6,-5.858,0.55,0.173,0,0.18,0.148,140.269,1
Pound Cake / Paris Morton Music 2,Drake,0.521,0.762,2,-6.75,0.534,0.139,1.11e-05,0.114,0.264,164.289,1
Come Thru,Drake,0.558,0.468,3,-5.812,0.173,0.159,0,0.586,0.405,81.977,1
All Me,Drake,0.67,0.515,1,-6.977,0.397,0.0705,0,0.25,0.422,122.006,1
Overtime,Big Sean,0.468,0.837,1,-5.654,0.381,0.187,0,0.687,0.605,95.47,1
Gold Roses (feat. Drake),Rick Ross,0.581,0.642,1,-5.318,0.407,0.0519,0,0.183,0.536,80.142,1
Undefeated (feat. Lil Keed),Future,0.855,0.561,2,-5.105,0.277,0.00135,0,0.187,0.408,157.016,1
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,0.883,0.525,2,-8.054,0.0633,0.189,0,0.0971,0.312,99.978,1
Baby,Quality Control,0.97,0.463,10,-7.259,0.366,0.0957,0,0.151,0.46,108.003,1
Panini,Lil Nas X,0.703,0.594,5,-6.146,0.0752,0.342,0,0.123,0.475,153.848,1
Money In The Grave (Drake ft. Rick Ross),Drake,0.831,0.502,10,-4.045,0.046,0.101,0,0.122,0.101,100.541,1
Ransom,Lil Tecca,0.745,0.642,7,-6.257,0.287,0.0204,0,0.0658,0.226,179.974,1
The London (feat. J. Cole & Travis Scott),Young Thug,0.796,0.586,4,-6.946,0.147,0.0247,0,0.132,0.179,97.981,1
Tap (feat. Meek Mill),NAV,0.901,0.676,2,-7.033,0.251,0.0646,0,0.0863,0.452,85.018,1
Mac 10,Trippie Redd,0.79,0.629,9,-7.172,0.138,0.179,0,0.356,0.833,124.063,1
Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,0.894,0.511,2,-4.768,0.42,0.0251,0,0.14,0.568,120.08,1
Suge,DaBaby,0.876,0.662,2,-6.482,0.426,0.0608,0,0.127,0.844,75.445,1
Broke As Fuck,YBN Cordae,0.616,0.669,1,-5.791,0.32,0.0298,0,0.127,0.275,154.056,1
100 Shooters (feat. Meek Mill & Doe Boy),Future,0.645,0.675,1,-5.282,0.202,0.0104,0,0.273,0.171,120.672,1
Forever,Tory Lanez,0.805,0.776,1,-6.006,0.139,0.000159,0,0.0502,0.172,146.997,1
Out The Mud,Lil Baby,0.746,0.497,1,-5.785,0.149,0.00944,8.6e-05,0.101,0.25,160.051,1
FIND HIM!,Comethazine,0.769,0.523,7,-9.762,0.273,0.089,0,0.16,0.449,139.785,1
Pop Out (feat. Lil Tjay),Polo G,0.861,0.621,1,-7.106,0.362,0.121,0,0.0689,0.254,83.976,1
Water on Water on Water,Young Dolph,0.919,0.56,8,-5.221,0.3,0.0119,0,0.0963,0.382,141.004,1
Feeling,Juice WRLD,0.712,0.515,10,-6.004,0.0857,0.234,0,0.205,0.563,160.0,1
GRoCERIES,Chance the Rapper,0.906,0.596,0,-5.88,0.243,0.0578,0,0.109,0.701,144.038,1
Rodeo,Lil Nas X,0.706,0.679,9,-5.614,0.0324,0.139,6.98e-05,0.465,0.657,140.081,1
"Royalty (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel)",XXXTENTACION,0.919,0.538,1,-6.15,0.241,0.0243,0.0415,0.0956,0.597,124.952,1
Clout (feat. Cardi B),Offset,0.919,0.622,1,-7.384,0.0997,0.228,4.24e-06,0.122,0.424,140.022,1
Cash Shit (feat. DaBaby),Megan Thee Stallion,0.921,0.635,1,-4.904,0.416,0.0218,0,0.0946,0.549,130.028,1
Baby Sitter (feat. Offset),DaBaby,0.852,0.73,1,-5.803,0.0579,0.0219,0,0.336,0.394,92.506,1
Sanguine Paradise,Lil Uzi Vert,0.729,0.603,6,-6.736,0.0666,0.0948,0,0.113,0.207,134.972,1
No Cap (feat. Rich The Kid),83 Babies,0.815,0.454,8,-8.916,0.333,0.413,0,0.105,0.712,139.929,1
That's A Rack,Lil Uzi Vert,0.852,0.432,1,-8.04,0.501,0.0599,0,0.146,0.258,140.042,1
Daddy (feat. Rich The Kid),Blueface,0.864,0.598,11,-8.076,0.238,0.0673,0,0.154,0.464,107.93,1
MEGATRON,Nicki Minaj,0.893,0.641,1,-3.051,0.272,0.128,8.06e-05,0.086,0.771,94.017,1
Wam,A$AP Ferg,0.837,0.626,1,-4.697,0.212,0.0675,0,0.257,0.114,95.987,1
Broke Leg (with Quavo & Tyga),Tory Lanez,0.851,0.85,1,-3.4,0.0904,0.226,0,0.145,0.642,99.975,1
Bussdown (feat. Offset),Blueface,0.905,0.659,1,-4.785,0.433,0.0583,0,0.0775,0.87,121.103,1
My Type,Saweetie,0.899,0.811,2,-6.294,0.258,0.000677,0,0.0672,0.587,105.038,1
ICE (feat. Gunna & Lil Baby),Gucci Mane,0.861,0.52,10,-5.498,0.472,0.193,0,0.109,0.384,153.899,1
Young Grizzley World (feat. A Boogie Wit Da Hoodie & YNW Melly),Tee Grizzley,0.779,0.705,8,-6.383,0.051,0.237,0,0.0899,0.451,122.996,1
Under Enemy Arms,Trippie Redd,0.751,0.776,9,-5.266,0.0357,0.223,0,0.0507,0.603,129.987,1
Uno,Ambjaay,0.978,0.477,8,-8.159,0.155,0.000143,0,0.133,0.196,110.002,1
Bitchuary,Shordie Shordie,0.762,0.383,5,-10.098,0.202,0.349,0,0.127,0.44,92.947,1
On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky),Mustard,0.857,0.676,1,-5.359,0.192,0.218,0,0.0592,0.339,103.998,1
Press,Cardi B,0.888,0.525,1,-5.665,0.305,0.029,5.68e-06,0.137,0.243,133.983,1
BLOOD.,Kendrick Lamar,0.357,0.238,8,-16.78,0.265,0.142,0.0859,0.55,0.494,156.907,1
DNA.,Kendrick Lamar,0.638,0.523,1,-6.664,0.357,0.00454,0,0.0842,0.422,139.913,1
ELEMENT.,Kendrick Lamar,0.748,0.705,4,-4.547,0.485,0.204,0,0.246,0.483,189.891,1
FEEL.,Kendrick Lamar,0.746,0.798,0,-8.382,0.349,0.137,0,0.139,0.553,109.968,1
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,0.658,0.535,9,-8.983,0.0573,0.0265,0,0.2,0.419,110.684,1
PRIDE.,Kendrick Lamar,0.665,0.535,4,-7.056,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,1
HUMBLE.,Kendrick Lamar,0.908,0.621,1,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,1
LUST.,Kendrick Lamar,0.678,0.562,3,-9.197,0.508,0.193,0,0.104,0.566,94.241,1
LOVE. FEAT. ZACARI.,Kendrick Lamar,0.8,0.585,10,-7.343,0.0924,0.264,0,0.153,0.779,126.058,1
XXX. FEAT. U2.,Kendrick Lamar,0.568,0.619,1,-6.899,0.414,0.138,1.67e-06,0.11,0.293,170.115,1
FEAR.,Kendrick Lamar,0.588,0.479,1,-7.039,0.281,0.604,7.2e-06,0.527,0.434,150.414,1
GOD.,Kendrick Lamar,0.706,0.557,0,-5.8,0.0813,0.0347,0,0.276,0.205,132.98,1
DUCKWORTH.,Kendrick Lamar,0.552,0.731,7,-6.873,0.615,0.0536,0,0.258,0.632,174.516,1
For Free? - Interlude,Kendrick Lamar,0.526,0.896,8,-4.708,0.197,0.588,0,0.37,0.745,129.313,1
King Kunta,Kendrick Lamar,0.884,0.657,6,-4.569,0.0977,0.00589,0,0.154,0.489,107.059,1
Institutionalized,Kendrick Lamar,0.539,0.731,3,-5.085,0.453,0.112,1.19e-06,0.129,0.568,81.114,1
Alright,Kendrick Lamar,0.796,0.766,7,-5.974,0.238,0.0742,0,0.0827,0.558,110.034,1
Momma,Kendrick Lamar,0.615,0.743,1,-4.58,0.325,0.254,0,0.665,0.515,111.914,1
Hood Politics,Kendrick Lamar,0.731,0.661,6,-6.562,0.376,0.145,0,0.12,0.369,87.912,1
How Much A Dollar Cost,Kendrick Lamar,0.624,0.729,1,-4.747,0.198,0.415,0,0.135,0.334,87.948,1
Complexion (A Zulu Love),Kendrick Lamar,0.665,0.558,2,-7.863,0.303,0.566,4.57e-06,0.219,0.37,89.953,1
The Blacker The Berry,Kendrick Lamar,0.553,0.852,10,-4.08,0.305,0.00713,0,0.463,0.27,176.058,1
You Ain't Gotta Lie (Momma Said),Kendrick Lamar,0.443,0.635,11,-5.404,0.223,0.455,2.07e-05,0.285,0.672,93.742,1
i,Kendrick Lamar,0.541,0.809,8,-4.286,0.324,0.708,0,0.72,0.753,120.094,1
Sherane a.k.a Master Splinter’s Daughter,Kendrick Lamar,0.503,0.508,10,-11.094,0.52,0.486,0.0102,0.124,0.317,81.908,1
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,0.587,0.698,1,-8.948,0.0943,0.0152,0,0.442,0.0985,133.954,1
The Art of Peer Pressure,Kendrick Lamar,0.555,0.611,10,-9.216,0.356,0.286,0.00106,0.273,0.411,94.939,1
good kid,Kendrick Lamar,0.451,0.831,5,-8.641,0.307,0.0623,0,0.185,0.41,176.162,1
Real,Kendrick Lamar,0.652,0.458,1,-12.272,0.194,0.0282,0,0.664,0.174,100.046,1
The Recipe - Bonus Track,Kendrick Lamar,0.759,0.782,11,-6.975,0.0741,0.000589,0,0.35,0.507,131.04,1
Black Boy Fly - Bonus Track,Kendrick Lamar,0.593,0.731,1,-5.21,0.149,0.108,1.52e-06,0.103,0.61,160.084,1
Now Or Never - Bonus Track,Kendrick Lamar,0.528,0.708,7,-5.879,0.207,0.264,0,0.308,0.781,97.8,1
The Recipe (Black Hippy Remix) - Bonus Track,Kendrick Lamar,0.723,0.758,1,-7.303,0.148,0.000588,0,0.357,0.628,131.051,1
Backseat Freestyle,Kendrick Lamar,0.546,0.651,1,-7.601,0.3,0.000739,0,0.235,0.646,77.878,1
Money Trees,Kendrick Lamar,0.716,0.531,7,-7.355,0.122,0.0703,0,0.224,0.344,71.994,1
Poetic Justice,Kendrick Lamar,0.779,0.572,6,-9.985,0.378,0.157,0,0.246,0.647,135.956,1
m.A.A.d city,Kendrick Lamar,0.487,0.729,2,-6.815,0.271,0.0538,4.07e-06,0.44,0.217,91.048,1
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,0.716,0.485,1,-7.745,0.404,0.123,2.69e-05,0.604,0.26,74.132,1
"Sing About Me, I'm Dying Of Thirst",Kendrick Lamar,0.654,0.753,11,-7.556,0.395,0.303,8.08e-05,0.13,0.371,110.722,1
Real,Kendrick Lamar,0.652,0.458,1,-12.272,0.194,0.0282,0,0.664,0.174,100.046,1
Compton,Kendrick Lamar,0.342,0.907,1,-4.432,0.415,0.0815,0,0.383,0.225,170.38,1
"Bitch, Don’t Kill My Vibe - Remix",Kendrick Lamar,0.625,0.773,1,-5.822,0.235,0.0479,0,0.201,0.134,133.798,1
F*ck Your Ethnicity,Kendrick Lamar,0.601,0.883,0,-6.944,0.328,0.392,1.93e-05,0.397,0.52,150.967,1
Hol' Up,Kendrick Lamar,0.607,0.869,5,-5.271,0.345,0.781,0,0.137,0.577,155.983,1
A.D.H.D,Kendrick Lamar,0.609,0.799,9,-6.883,0.24,0.33,0,0.108,0.582,157.74,1
No Make-Up (Her Vice),Kendrick Lamar,0.535,0.696,5,-7.181,0.0901,0.541,0.00521,0.63,0.213,91.002,1
Tammy's Song (Her Evils),Kendrick Lamar,0.477,0.835,9,-5.942,0.438,0.924,0.000508,0.129,0.52,97.317,1
The Spiteful Chant,Kendrick Lamar,0.596,0.783,0,-4.356,0.0313,0.0506,0,0.181,0.334,127.018,1
Keisha's Song (Her Pain),Kendrick Lamar,0.465,0.854,7,-7.564,0.377,0.429,0,0.618,0.199,85.126,1
Rigamortus,Kendrick Lamar,0.52,0.807,2,-6.281,0.409,0.24,0.00257,0.199,0.628,178.012,1
Kush & Corinthians,Kendrick Lamar,0.383,0.731,1,-5.996,0.201,0.726,0,0.504,0.306,176.781,1
Blow My High (Members Only),Kendrick Lamar,0.959,0.524,9,-8.145,0.274,0.316,0,0.274,0.84,119.933,1
Ab-Souls Outro,Kendrick Lamar,0.471,0.839,5,-6.852,0.379,0.116,0,0.658,0.639,115.79,1
HiiiPower,Kendrick Lamar,0.695,0.827,6,-5.742,0.282,0.179,0,0.283,0.538,81.024,1
Bank Account,21 Savage,0.884,0.346,8,-8.228,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,1
Numb,21 Savage,0.839,0.437,5,-11.344,0.285,0.0438,2.75e-06,0.131,0.464,82.008,1
Bad Business,21 Savage,0.856,0.54,6,-9.729,0.373,0.000985,1.55e-05,0.0854,0.387,158.05,1
Whole Lot,21 Savage,0.916,0.537,6,-9.79,0.245,0.188,0.00286,0.115,0.223,123.02,1
Close My Eyes,21 Savage,0.921,0.472,10,-7.88,0.43,0.164,0.432,0.156,0.198,139.996,1
Special,21 Savage,0.891,0.321,1,-12.813,0.426,0.147,1.89e-05,0.117,0.331,136.005,1
Baby Girl,21 Savage,0.852,0.459,9,-9.658,0.391,0.00781,0.119,0.133,0.157,163.021,1
Thug Life,21 Savage,0.8,0.467,0,-9.974,0.45,0.159,0,0.653,0.307,132.054,1
Famous,21 Savage,0.779,0.597,9,-9.652,0.434,0.723,4.47e-05,0.0508,0.646,173.986,1
Dead People,21 Savage,0.835,0.521,5,-11.666,0.343,0.297,0.000458,0.115,0.211,158.923,1
7 Min Freestyle,21 Savage,0.844,0.454,1,-9.028,0.259,0.0723,0.787,0.126,0.274,155.029,1
Money Convo,21 Savage,0.821,0.276,1,-10.556,0.123,0.0392,0.0233,0.11,0.0569,144.896,1
Nothin New,21 Savage,0.743,0.467,0,-10.354,0.401,0.145,1.15e-06,0.0891,0.19,150.004,1
